bug ID,product,summary,description,component,priority,unknown_1,unknown_2,resolution,severity
24458,SeaMonkey,start mailnew crash aix ,click messeng aix build crash ,MailNews: Message Display,P1,jdunn,jdunn jdunn lchiang leger leger jdunn jdunn jdunn jdunn R6Agent jdunn jdunn jdunn jdunn jdunn jdunn jdunn jdunn jdunn netscape jdunn blizzard jdunn ,FIXED,critical
29793,SeaMonkey,panel window empti add panel sidebar ,today s linux mozilla build instal launch browser click custom button sidebar open panel window observ window empti expect panel list ,Sidebar,P1,slamm,shrir granrosebugs sspitzer waterson waterson thaths slamm shrir paulmac slamm slamm paulmac paulmac rspain ,FIXED,blocker
29866,SeaMonkey,mlk leak uri wallet loc ,nsiuri freed wallet loc number return classic case need nscomptr malloc pl strndup extractstr nsstdurlpars parseatschem const char char char char char int char nsstdurl pars const char nsstdurl setspec const char nschromeprotocolhandl newuri const char nsiuri nsiuri nsioservic newuri const char nsiuri nsiuri nsiprotocolhandler nsioservic newuri const char nsiuri nsiuri wallet loc char si checkgetpassword unsign short const unsign short int singsign promptpassword nswalletlibservic promptpasswordurl const unsign short unsign short const char int nsiprompt int nswebshellwindow promptpassword const char int const unsign short const unsign short unsign short int nsmsgincomingserv getpasswordwithui const unsign short const unsign short nsimsgwindow char nspop protocol getpassword char nspop protocol sendpassword nspop protocol processprotocolst nsiuri nsiinputstream unsign int unsign int nsmsgprotocol ondataavail nsichannel nsisupports nsiinputstream unsign int unsign int nsondataavailableev handleev nsstreamlistenerev handleplev plevent pl handleev pl processpendingev nseventqueueimpl processpendingev nsmacnspreventqueuehandl repeatact const eventrecord repeat dorepeat const eventrecord nsmacmessagepump dispatchev int eventrecord nsmacmessagepump domessagepump nsappshel run nsappshellservic run ,Passwords & Permissions,P3,morse,bruce morse bugzilla morse bugzilla bugzilla ,FIXED,major
30539,SeaMonkey,default central european font good ,default font variable width central european charset monospac good helvetica time ,Preferences,P3,erik,illich matt erik bugzilla erik erik ,FIXED,minor
32968,SeaMonkey,write nshtmleditorlog version tabl edit method ,ad tabl edit method neglect write log method ,Composer,--,nobody,cmanske cmanske rubydoo123 rubydoo123 rubydoo123 cmanske cmanske cmanske rubydoo123 cmanske slogan rubydoo123 arunprasannan standard8 philip.chee ,FIXED,major
34574,SeaMonkey,larg email messag render slowli ,platform netscap preview run windowsnt workstat sp open larg email messag cron job output tripwir report long second delay gui block email messag render delet move piec mail question read wait render time take render significantli slower commun commun pretti slow ,MailNews: Message Display,P3,mscott,darrell_michaud lchiang mscott lchiang mscott darrell_michaud darrell_michaud ,FIXED,major
34912,SeaMonkey,ja orang gif center side bar panel rakuten ichiba produc page found error click sidebar pannel ,bugzilla helper user ag mozilla window nt buildid reproduc step reproduc click orang gif center rakuten ichiba side bar panel result page found error ,Sidebar,P2,momoi,rspain lbaliman lbaliman lbaliman momoi momoi momoi momoi rspain rspain ,FIXED,major
37712,SeaMonkey,receiv messag header download messag header ,http lxr mozilla org seamonkey source include allxpstr h http lxr mozilla org seamonkey source include allxpstr h messag capit read receiv messag header lu lu receiv messag flag lu lu ,MailNews: Message Display,P3,tmeader,bugzilla scottputterman bugzilla bugzilla stephend bugzilla maolson jag-mozbugs maolson mscott jag-mozbugs bugzilla bugzilla bugzilla bugzilla hwaara bugzilla timeless bugzilla maolson bugzilla tmeader tmeader tmeader mscott mscott mscott mnyromyr mnyromyr ,FIXED,minor
43160,SeaMonkey,profil manag xml pars error ,build attempt start profil manag produc error xml pars error undefin entiti line number column checkbox id offlinest value offlinestate label accesskey offlinestate accesskey ,Startup & Profiles,P3,bugs,jay bugs jay ,FIXED,major
44493,SeaMonkey,open instanc custom search dialog ,build id instanc custom search dialog open custom button sidebar search panel dialog display behavior custom sidebar dialog access sidebar add button instanc dialog open user request open already open instanc foreground ,Search,--,nobody,bugzilla timeless bugzilla matt bugzilla bugzilla alecf bugzilla timeless mozillamarcia.knous bugzilla danm.moz bugzilla danm.moz jpm bugzilla philip.chee ,FIXED,minor
